adm_cd,adm_nm,자치구,rent_n,villa_share,apt_share,officetel_share,dagagu_count
1174059000,암사제3동,강동구,5806,0.449,0.5133,0.0377,146
1174060000,천호제1동,강동구,10490,0.4451,0.2756,0.2793,419
1174061000,천호제2동,강동구,10490,0.4451,0.2756,0.2793,419
1174062000,천호제3동,강동구,10490,0.4451,0.2756,0.2793,419
1174064000,성내제1동,강동구,6712,0.58,0.3586,0.0614,301
1174065000,성내제2동,강동구,6712,0.58,0.3586,0.0614,301
1174066000,성내제3동,강동구,6712,0.58,0.3586,0.0614,301
1174068500,길동,강동구,6241,0.2516,0.5653,0.1831,421
1174069000,둔촌제1동,강동구,3999,0.2601,0.7349,0.005,92
1174070000,둔촌제2동,강동구,3999,0.2601,0.7349,0.005,92
