adm_cd,adm_nm,자치구,pop,area_km2,pop_density
1123057000,전농제2동,동대문구,18026.0,0.9768211383111722,18453.7
1123060000,답십리제1동,동대문구,27894.0,0.7876412759746796,35414.6
1123061000,답십리제2동,동대문구,27519.0,0.8750762487017265,31447.5
1123065000,장안제1동,동대문구,37492.0,1.3411408763924286,27955.3
1123066000,장안제2동,동대문구,32582.0,0.9958771705655406,32716.9
1123070500,청량리동,동대문구,18767.0,1.2034820441630074,15593.9
1123071000,회기동,동대문구,10444.0,0.7663324689248591,13628.5
1123072000,휘경제1동,동대문구,13742.0,0.5213976534486326,26356.1
1123073000,휘경제2동,동대문구,24320.0,1.112757608487857,21855.6
1123074000,이문제1동,동대문구,17855.0,1.0380095675983532,17201.2
1123075000,이문제2동,동대문구,19453.0,0.7240172669340116,26868.1
1126052000,면목제2동,중랑구,23697.0,0.7625364178128635,31076.5
1126054000,면목제4동,중랑구,18231.0,0.8428184055941811,21631.0
1126055000,면목제5동,중랑구,14607.0,0.7043952680827219,20736.9
1126056500,면목본동,중랑구,32863.0,0.8483657710714066,38736.8
1126057000,면목제7동,중랑구,21222.0,1.234523923918471,17190.4
1126057500,면목제3.8동,중랑구,24505.0,1.6135312926858565,15187.2
1126058000,상봉제1동,중랑구,23233.0,0.8531215173493478,27232.9
1126059000,상봉제2동,중랑구,20375.0,0.6769249753356164,30099.3
1126060000,중화제1동,중랑구,18811.0,0.6414412238193113,29326.1
1126061000,중화제2동,중랑구,23864.0,1.01617609696156,23484.1
1126062000,묵제1동,중랑구,33748.0,1.237485266032999,27271.4
1126063000,묵제2동,중랑구,18179.0,0.6686907952550871,27186.0
1126065500,망우본동,중랑구,35443.0,2.947959839352839,12022.9
1126066000,망우제3동,중랑구,15763.0,0.9618184875693766,16388.7
1126068000,신내1동,중랑구,38032.0,2.6027794413352594,14612.1
1126069000,신내2동,중랑구,19817.0,0.910608614839586,21762.4
1129052500,성북동,성북구,15967.0,2.877618122369605,5548.7
1129055500,삼선동,성북구,22221.0,0.925528305238122,24009.0
1129057500,동선동,성북구,15043.0,0.7242597467801175,20770.2
1129058000,돈암제1동,성북구,14293.0,0.4889253485618327,29233.5
1129059000,돈암제2동,성북구,23449.0,0.518093739240975,45260.1
1129060000,안암동,성북구,14985.0,1.3785262860072889,10870.3
1129061000,보문동,성북구,16219.0,0.552588328433588,29351.0
1129062000,정릉제1동,성북구,17819.0,0.4116542325601758,43286.3
