adm_cd,adm_nm,자치구,S_JVWI,dagagu_count,new_density,전세가율,고전세가율비율,공시지가대비전세가괴리,officetel_share,pop_density,n_dagagu_count,n_new_density,n_전세가율,n_고전세가율비율,n_공시지가대비전세가괴리,n_officetel_share,n_pop_density
1154562000,독산제2동,금천구,61.92,870,70.94,78.55,42.5,2.2048,0.4506,28996.9,0.7611548556430446,0.38294197031039134,0.7398215567634089,0.5704697986577181,0.5918481316106854,0.6766781799068928,0.5783460467756086
1154564000,독산제4동,금천구,61.55,870,74.08,78.55,42.5,2.2048,0.4506,24789.3,0.7611548556430446,0.3998920377867746,0.7398215567634089,0.5704697986577181,0.5918481316106854,0.6766781799068928,0.4942594661353467
1154563000,독산제3동,금천구,59.0,870,46.83,78.55,42.5,2.2048,0.4506,25426.5,0.7611548556430446,0.25279352226720647,0.7398215567634089,0.5704697986577181,0.5918481316106854,0.6766781799068928,0.5069935590110893
1154551000,가산동,금천구,56.56,332,13.14,94.12,74.5,2.3288,0.6659,9840.2,0.2904636920384952,0.07093117408906884,0.8994974874371859,1.0,0.6430289642237723,1.0,0.19550989330301025
1154561000,독산제1동,금천구,56.05,870,21.23,78.55,42.5,2.2048,0.4506,22530.9,0.7611548556430446,0.11460188933873144,0.7398215567634089,0.5704697986577181,0.5918481316106854,0.6766781799068928,0.4491265795211326
1111070000,숭인제1동,종로구,54.71,104,45.98,103.92,65.0,1.8308,0.6067,24120.5,0.09098862642169729,0.2482051282051282,1.0,0.87248322147651,0.4374801364712135,0.9110977624267907,0.4808938645733619
1111071000,숭인제2동,종로구,53.86,104,31.28,103.92,65.0,1.8308,0.6067,27724.4,0.09098862642169729,0.16885290148448043,1.0,0.87248322147651,0.4374801364712135,0.9110977624267907,0.5529158314831062
1121573000,군자동,광진구,50.44,581,20.34,83.72,49.1,1.9496,0.321,25971.6,0.5083114610673666,0.10979757085020243,0.7928417598195057,0.6590604026845638,0.4865146761037517,0.48205436251689443,0.5178870838487657
1126066000,망우제3동,중랑구,50.15,435,121.64,75.84,21.5,2.2367,0.2655,16388.7,0.3805774278215223,0.6566261808367072,0.7120295354322634,0.28859060402684567,0.6050148135490521,0.3987085147920108,0.3263780778554285
1174062000,천호제3동,강동구,49.4,419,98.61,72.03,27.1,1.5074,0.2793,46591.0,0.3665791776027997,0.5323076923076923,0.6729566198338632,0.363758389261745,0.30399722302708204,0.41943234719927913,0.9299544954025768
1156058500,도림동,영등포구,48.53,602,42.7,60.5,20.5,2.2885,0.5125,30033.0,0.5266841644794401,0.23049932523616737,0.5547123371961851,0.2751677852348993,0.626395193624519,0.7696350803423936,0.599051937592553
1130562500,수유2동,강북구,48.47,445,60.22,80.87,37.3,1.8123,0.2169,35490.0,0.389326334208224,0.3250742240215924,0.7636139883088915,0.5006711409395973,0.42984428644426104,0.32572458327076137,0.7081070926818935
1150055000,화곡제2동,강서구,48.42,287,87.77,81.29,39.4,1.599,0.234,37731.3,0.2510936132983377,0.47379217273954116,0.7679212388472978,0.5288590604026846,0.3418049993767494,0.3514041147319417,0.7528982451652615
