법정동코드,동이름,자치구,전세가율,고전세가율비율,거래건수
11110_혜화동,혜화동,종로구,69.95,17.2,64
11410_대신동,대신동,서대문구,69.93,40.0,10
11110_청운동,청운동,종로구,69.9,20.8,24
11710_송파동,송파동,송파구,69.87,29.5,1444
11290_상월곡동,상월곡동,성북구,69.71,12.5,56
11410_옥천동,옥천동,서대문구,69.53,11.1,9
11380_응암동,응암동,은평구,69.28,26.4,780
11440_동교동,동교동,마포구,69.27,36.5,52
11260_면목동,면목동,중랑구,69.11,22.6,1821
11140_장충동2가,장충동2가,중구,68.85,16.9,71
11110_내수동,내수동,종로구,68.78,33.3,3
11305_수유동,수유동,강북구,68.71,35.3,1043
11215_구의동,구의동,광진구,68.67,22.6,1383
11380_신사동,신사동,은평구,68.66,30.3,630
11380_진관동,진관동,은평구,68.65,16.7,30
11260_중화동,중화동,중랑구,68.36,21.5,801
11290_성북동1가,성북동1가,성북구,68.35,13.6,22
11320_쌍문동,쌍문동,도봉구,68.18,32.9,434
11560_당산동6가,당산동6가,영등포구,68.06,35.6,135
11560_문래동1가,문래동1가,영등포구,67.8,22.2,9
11500_방화동,방화동,강서구,67.74,30.4,537
11110_신문로2가,신문로2가,종로구,67.67,22.2,9
11650_염곡동,염곡동,서초구,67.49,0.0,8
11320_방학동,방학동,도봉구,67.11,31.8,359
11470_목동,목동,양천구,67.0,22.2,2549
11290_동선동4가,동선동4가,성북구,66.84,28.6,7
11290_동선동5가,동선동5가,성북구,66.5,22.2,27
11230_휘경동,휘경동,동대문구,66.33,24.3,218
11740_길동,길동,강동구,66.29,30.0,516
11410_연희동,연희동,서대문구,66.22,20.9,350
11560_양평동6가,양평동6가,영등포구,66.19,59.3,123
11200_송정동,송정동,성동구,66.15,20.0,100
11260_신내동,신내동,중랑구,65.92,20.3,128
11530_고척동,고척동,구로구,65.89,21.1,213
11290_돈암동,돈암동,성북구,65.88,30.1,73
11110_효자동,효자동,종로구,65.52,0.0,6
11200_마장동,마장동,성동구,65.42,34.6,104
11140_장충동1가,장충동1가,중구,65.15,2.5,40
11200_홍익동,홍익동,성동구,65.07,59.3,27
11110_필운동,필운동,종로구,64.94,0.0,13
11740_명일동,명일동,강동구,64.58,18.3,273
11380_녹번동,녹번동,은평구,64.55,16.5,886
11710_석촌동,석촌동,송파구,64.49,21.3,1652
11110_계동,계동,종로구,64.09,0.0,6
11440_망원동,망원동,마포구,64.03,14.8,1200
11290_동소문동1가,동소문동1가,성북구,63.99,0.0,6
11440_성산동,성산동,마포구,63.96,15.6,935
11200_하왕십리동,하왕십리동,성동구,63.68,5.6,160
11290_삼선동2가,삼선동2가,성북구,63.47,37.5,8
11530_천왕동,천왕동,구로구,63.33,0.0,4
11290_보문동5가,보문동5가,성북구,63.22,0.0,26
11560_대림동,대림동,영등포구,62.9,23.4,303
11110_신교동,신교동,종로구,62.57,13.9,36
11500_마곡동,마곡동,강서구,62.52,29.8,161
11200_사근동,사근동,성동구,62.5,6.4,47
11290_안암동1가,안암동1가,성북구,62.42,0.0,6
11650_서초동,서초동,서초구,62.14,28.1,1104
11680_논현동,논현동,강남구,61.67,21.5,965
11380_대조동,대조동,은평구,61.46,8.7,624
11530_오류동,오류동,구로구,61.36,18.5,401
11410_천연동,천연동,서대문구,61.31,5.0,20
11290_삼선동1가,삼선동1가,성북구,60.63,22.6,31
11110_평창동,평창동,종로구,60.22,12.5,104
11440_중동,중동,마포구,60.11,7.1,113
11590_상도동,상도동,동작구,59.98,11.9,1674
11410_창천동,창천동,서대문구,59.92,36.2,177
11680_도곡동,도곡동,강남구,59.53,4.3,139
11140_신당동,신당동,중구,59.4,17.1,821
11140_광희동2가,광희동2가,중구,59.35,21.1,19
11110_통인동,통인동,종로구,58.93,0.0,6
11680_역삼동,역삼동,강남구,58.63,17.0,1363
11530_궁동,궁동,구로구,58.55,15.5,309
11710_풍납동,풍납동,송파구,58.53,17.2,238
11350_상계동,상계동,노원구,58.44,21.7,553
11590_신대방동,신대방동,동작구,57.72,15.1,364
11590_동작동,동작동,동작구,57.3,5.9,34
11200_행당동,행당동,성동구,57.05,21.7,189
11590_흑석동,흑석동,동작구,56.93,13.8,116
11110_홍파동,홍파동,종로구,56.92,27.3,11
11590_대방동,대방동,동작구,56.92,16.6,343
11230_신설동,신설동,동대문구,56.92,20.5,73
11170_한남동,한남동,용산구,56.31,10.7,168
11590_사당동,사당동,동작구,56.27,14.9,1439
11710_잠실동,잠실동,송파구,55.89,13.6,1309
11215_광장동,광장동,광진구,55.84,7.8,167
11305_번동,번동,강북구,55.51,10.9,412
11530_가리봉동,가리봉동,구로구,55.43,11.5,209
11710_거여동,거여동,송파구,55.36,16.4,318
11410_홍제동,홍제동,서대문구,55.16,10.3,427
11410_영천동,영천동,서대문구,55.15,0.0,8
11200_옥수동,옥수동,성동구,55.11,14.8,27
11305_미아동,미아동,강북구,54.98,14.6,1115
11290_길음동,길음동,성북구,54.86,17.9,39
11650_양재동,양재동,서초구,54.83,4.2,1895
11170_도원동,도원동,용산구,54.81,0.0,10
11710_삼전동,삼전동,송파구,54.47,8.8,1644
11380_불광동,불광동,은평구,54.38,10.7,1490
11440_합정동,합정동,마포구,54.37,6.8,1125
11650_우면동,우면동,서초구,54.31,6.3,142
11560_신길동,신길동,영등포구,54.19,7.0,875
11680_개포동,개포동,강남구,54.18,3.5,866
