adm_cd,adm_nm,자치구,전세가율,고전세가율비율,jeonse_per_m2,거래건수
1123072000,휘경제1동,동대문구,66.88,14.0,728.25,1626
1162062500,인헌동,관악구,66.86,14.1,681.18,6119
1162060500,은천동,관악구,66.86,14.1,681.18,6119
1162059500,청룡동,관악구,66.86,14.1,681.18,6119
1162058500,낙성대동,관악구,66.86,14.1,681.18,6119
1162057500,행운동,관악구,66.86,14.1,681.18,6119
1162056500,성현동,관악구,66.86,14.1,681.18,6119
1162054500,청림동,관악구,66.86,14.1,681.18,6119
1162052500,보라매동,관악구,66.86,14.1,681.18,6119
1162061500,중앙동,관악구,66.86,14.1,681.18,6119
1111056000,평창동,종로구,66.24,13.2,514.75,288
1156061000,양평제1동,영등포구,65.83,31.4,772.49,1864
1174068500,길동,강동구,65.72,23.8,692.69,2095
1126056500,면목본동,중랑구,65.39,12.6,640.79,3302
1126055000,면목제5동,중랑구,65.39,12.6,640.79,3302
1126057000,면목제7동,중랑구,65.39,12.6,640.79,3302
1126057500,면목제3.8동,중랑구,65.39,12.6,640.79,3302
1126054000,면목제4동,중랑구,65.39,12.6,640.79,3302
1126052000,면목제2동,중랑구,65.39,12.6,640.79,3302
1150064000,방화제2동,강서구,65.39,12.0,574.47,2932
1150064100,방화제3동,강서구,65.39,12.0,574.47,2932
1138060000,응암제3동,은평구,65.06,9.8,685.53,3542
1138059000,응암제2동,은평구,65.06,9.8,685.53,3542
1138058000,응암제1동,은평구,65.06,9.8,685.53,3542
1141061500,연희동,서대문구,64.62,12.8,551.83,726
1156056000,당산제2동,영등포구,64.24,20.0,914.31,2690
1153052000,구로제1동,구로구,64.0,19.4,551.88,4857
1153053000,구로제2동,구로구,64.0,19.4,551.88,4857
1153054000,구로제3동,구로구,64.0,19.4,551.88,4857
1153055000,구로제4동,구로구,64.0,19.4,551.88,4857
1153056000,구로제5동,구로구,64.0,19.4,551.88,4857
1129065000,정릉제4동,성북구,63.92,9.4,484.87,1950
1129064000,정릉제3동,성북구,63.92,9.4,484.87,1950
1153073000,고척제2동,구로구,63.85,7.3,509.51,1399
1153072000,고척제1동,구로구,63.85,7.3,509.51,1399
1171060000,석촌동,송파구,63.77,19.4,687.65,1880
1144071000,연남동,마포구,63.65,14.9,640.98,376
1141066000,홍은제1동,서대문구,63.5,6.1,559.45,1636
1141068500,홍은제2동,서대문구,63.5,6.1,559.45,1636
1168065000,역삼2동,강남구,63.25,24.7,1118.44,4219
1168064000,역삼1동,강남구,63.25,24.7,1118.44,4219
1129055500,삼선동,성북구,63.05,7.2,637.32,1894
1156055000,당산제1동,영등포구,62.91,18.6,834.65,1471
1123054500,제기동,동대문구,62.83,21.8,642.81,620
1130560800,번3동,강북구,62.75,14.1,453.84,1149
1130560300,번2동,강북구,62.75,14.1,453.84,1149
1130559500,번1동,강북구,62.75,14.1,453.84,1149
1121587000,구의제3동,광진구,62.69,9.8,783.02,3065
1121585000,구의제1동,광진구,62.69,9.8,783.02,3065
1121586000,구의제2동,광진구,62.69,9.8,783.02,3065
1123075000,이문제2동,동대문구,62.68,11.0,700.87,2029
1123074000,이문제1동,동대문구,62.68,11.0,700.87,2029
1129063000,정릉제2동,성북구,62.55,6.5,538.75,3400
1153059500,가리봉동,구로구,62.55,25.2,509.44,286
1129057500,동선동,성북구,62.37,6.8,612.71,1701
1144070000,망원제2동,마포구,62.03,8.8,678.65,1718
1144069000,망원제1동,마포구,62.03,8.8,678.65,1718
1147057000,신월2동,양천구,61.78,12.8,504.77,3989
1147056000,신월1동,양천구,61.78,12.8,504.77,3989
1147061100,신월7동,양천구,61.78,12.8,504.77,3989
1147061000,신월6동,양천구,61.78,12.8,504.77,3989
1147060000,신월5동,양천구,61.78,12.8,504.77,3989
1147059000,신월4동,양천구,61.78,12.8,504.77,3989
1147058000,신월3동,양천구,61.78,12.8,504.77,3989
1129081000,석관동,성북구,61.69,10.5,642.79,1196
1129061000,보문동,성북구,61.65,4.0,822.94,506
1123061000,답십리제2동,동대문구,61.07,11.3,786.01,2701
1123060000,답십리제1동,동대문구,61.07,11.3,786.01,2701
1135060000,공릉2동,노원구,61.03,3.1,557.68,2198
1135059500,공릉1동,노원구,61.03,3.1,557.68,2198
1129059000,돈암제2동,성북구,60.7,2.6,611.2,1450
