adm_cd,adm_nm,자치구,S_JVWI,구피해,cluster,cluster_label
1174065000,성내제2동,강동구,36.01,241,0,고밀주거형
1162052500,보라매동,관악구,35.94,2292,0,고밀주거형
1111061500,종로1.2.3.4가동,종로구,35.94,34,6,오피스텔밀집형
1138058000,응암제1동,은평구,35.88,417,0,고밀주거형
1174068500,길동,강동구,35.82,241,1,다가구밀집형
1120053500,왕십리도선동,성동구,35.54,25,0,고밀주거형
1150053000,등촌제2동,강서구,35.51,1627,6,오피스텔밀집형
1174066000,성내제3동,강동구,35.43,241,0,고밀주거형
1141055500,북아현동,서대문구,35.2,200,0,고밀주거형
1156062000,양평제2동,영등포구,34.95,498,6,오피스텔밀집형
1123073000,휘경제2동,동대문구,34.87,503,1,다가구밀집형
1141061500,연희동,서대문구,34.84,200,1,다가구밀집형
1132052200,도봉제2동,도봉구,34.8,158,0,고밀주거형
1168070000,세곡동,강남구,34.78,68,4,공시지가괴리형
1144056500,공덕동,마포구,34.63,164,0,고밀주거형
1129060000,안암동,성북구,34.52,271,1,다가구밀집형
1123075000,이문제2동,동대문구,34.51,503,1,다가구밀집형
1138063100,신사제1동,은평구,34.5,417,0,고밀주거형
1156061000,양평제1동,영등포구,34.49,498,6,오피스텔밀집형
1153053000,구로제2동,구로구,34.48,527,6,오피스텔밀집형
1174064000,성내제1동,강동구,34.46,241,0,고밀주거형
1171064100,문정1동,송파구,34.39,198,6,오피스텔밀집형
1162059500,청룡동,관악구,34.31,2292,0,고밀주거형
1138055200,갈현제2동,은평구,34.29,417,1,다가구밀집형
1159055000,상도제3동,동작구,34.23,974,3,신축집중형
1156056000,당산제2동,영등포구,34.05,498,6,오피스텔밀집형
1126063000,묵제2동,중랑구,34.02,283,0,고밀주거형
1162063000,남현동,관악구,34.02,2292,6,오피스텔밀집형
1121587000,구의제3동,광진구,33.98,134,0,고밀주거형
1121582000,자양제1동,광진구,33.87,134,3,신축집중형
1159065000,사당제4동,동작구,33.78,974,3,신축집중형
1162062500,인헌동,관악구,33.49,2292,1,다가구밀집형
1132068000,쌍문제3동,도봉구,33.35,158,0,고밀주거형
1111065000,혜화동,종로구,33.21,34,1,다가구밀집형
1144072000,성산제1동,마포구,33.17,164,6,오피스텔밀집형
1174069000,둔촌제1동,강동구,33.12,241,3,신축집중형
1156051500,영등포본동,영등포구,33.06,498,0,고밀주거형
1132067000,쌍문제2동,도봉구,33.03,158,0,고밀주거형
1138056000,구산동,은평구,32.95,417,1,다가구밀집형
1162074500,삼성동,관악구,32.94,2292,1,다가구밀집형
1129055500,삼선동,성북구,32.94,271,1,다가구밀집형
1132068100,쌍문제4동,도봉구,32.82,158,0,고밀주거형
1168064000,역삼1동,강남구,32.78,68,1,다가구밀집형
1156065000,신길제3동,영등포구,32.68,498,0,고밀주거형
1123074000,이문제1동,동대문구,32.62,503,1,다가구밀집형
1123056000,전농제1동,동대문구,32.59,503,0,고밀주거형
1159054000,상도제2동,동작구,32.59,974,3,신축집중형
1117056000,원효로제1동,용산구,32.54,4,3,신축집중형
1156055000,당산제1동,영등포구,32.46,498,0,고밀주거형
1111055000,부암동,종로구,32.43,34,6,오피스텔밀집형
1150061100,발산제1동,강서구,32.39,1627,6,오피스텔밀집형
1138051000,녹번동,은평구,32.34,417,1,다가구밀집형
1111053000,사직동,종로구,32.32,34,6,오피스텔밀집형
1138055100,갈현제1동,은평구,32.32,417,1,다가구밀집형
1159053000,상도제1동,동작구,32.12,974,0,고밀주거형
1130555500,송천동,강북구,32.11,187,1,다가구밀집형
1117055500,청파동,용산구,32.1,4,3,신축집중형
1130553500,미아동,강북구,32.01,187,1,다가구밀집형
1144073000,성산제2동,마포구,31.84,164,6,오피스텔밀집형
1130554500,송중동,강북구,31.84,187,1,다가구밀집형
1156069000,신길제7동,영등포구,31.83,498,0,고밀주거형
1130553400,삼양동,강북구,31.74,187,1,다가구밀집형
1126062000,묵제1동,중랑구,31.73,283,0,고밀주거형
1156068000,신길제6동,영등포구,31.69,498,0,고밀주거형
1129070500,종암동,성북구,31.66,271,0,고밀주거형
1121586000,구의제2동,광진구,31.61,134,1,다가구밀집형
1138063200,신사제2동,은평구,31.5,417,1,다가구밀집형
1171060000,석촌동,송파구,31.5,198,3,신축집중형
1123071000,회기동,동대문구,31.49,503,1,다가구밀집형
1159062000,사당제1동,동작구,31.35,974,3,신축집중형
1162073500,대학동,관악구,31.33,2292,1,다가구밀집형
1153075000,개봉제2동,구로구,31.33,527,0,고밀주거형
1123057000,전농제2동,동대문구,31.23,503,1,다가구밀집형
1156070000,대림제1동,영등포구,31.2,498,0,고밀주거형
1129076000,장위제1동,성북구,30.94,271,3,신축집중형
1156063000,신길제1동,영등포구,30.85,498,0,고밀주거형
1130559500,번1동,강북구,30.76,187,0,고밀주거형
1144071000,연남동,마포구,30.74,164,1,다가구밀집형
1174070000,둔촌제2동,강동구,30.72,241,4,공시지가괴리형
1159056000,상도제4동,동작구,30.68,974,0,고밀주거형
1171056200,방이2동,송파구,30.61,198,6,오피스텔밀집형
1147059000,신월4동,양천구,30.48,354,0,고밀주거형
1132051200,창제2동,도봉구,30.44,158,0,고밀주거형
1150064000,방화제2동,강서구,30.32,1627,4,공시지가괴리형
1144059000,용강동,마포구,30.31,164,3,신축집중형
1159067000,신대방제1동,동작구,30.25,974,0,고밀주거형
1114059000,광희동,중구,30.24,19,6,오피스텔밀집형
1153073000,고척제2동,구로구,30.13,527,0,고밀주거형
1129057500,동선동,성북구,30.08,271,1,다가구밀집형
1129078000,장위제3동,성북구,29.96,271,3,신축집중형
1147054000,목4동,양천구,29.92,354,0,고밀주거형
1138064000,증산동,은평구,29.89,417,3,신축집중형
1174051500,강일동,강동구,29.89,241,3,신축집중형
1138069000,진관동,은평구,29.83,417,4,공시지가괴리형
